Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig.CL	e.Driver	e.Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
TRAF7	luad	10	No	Unk	Missense somatic drivers in other tissues	1	1	0.0107520760273	1	0.193	1	1	1	1	1	1	1	0.165575943996682	1	1	1
WT1	luad	18	No	Unk	Missense somatic drivers in other tissues	0.6330997	0.520429260390962	0.185423174107	2.720135e-05	0.00146	0.70578171035422	1	1	1	1	0.51945	1	0.0210707591507613	1	1	3
SFPQ	luad	6	No	Unk	Other somatic drivers in other tissues	1	0.0558585412380097	1	0.002264352	0.283	1	1	1	1	1	1	1	0.0033752316932448	1	1	2
XPO1	luad	11	No	OG	Missense somatic drivers in other tissues	0.9988221	1	0.22129056329	1	0.673	1	1	1	1	1	0.813571	1	0.0107228056915807	1	1	1
MET	luad	22	No	OG	Missense somatic drivers in other tissues	0.09484597	1	1	1	0.0553	1	1	1	1	1	0.794787	1	0.0544506687932284	1.17182944668694e-09	1	1
NCOR1	luad	24	No	Unk	Missense somatic drivers in other tissues	1	0.972978530125374	1	1	0.484	1	1	1	1	1	1	1	0.036875984565939	1	1	1
BCOR	luad	19	No	TSG	Other somatic drivers in other tissues	0.3710792	0.812449325109063	0.322418394372	1	0.378	1	1	1	1	1	1	1	0.0114973154628652	1	1	1
SPECC1	luad	11	No	Unk	Other somatic drivers in other tissues	1	0.746568408580802	1	1	1	1	1	1	1	1	1	1	0.0247229087177332	1	1	1
ERBB4	luad	50	No	OG/TSG	Missense somatic drivers in other tissues	0.4008214	1	1	1	0.494	1	1	1	1	1	0.467973	1	0.0182844221884214	1	1	1
MSI2	luad	6	No	Unk	Other somatic drivers in other tissues	0.9722388	1	1	1	0.045	1	1	1	1	1	1	1	1	1	1	1
PRF1	luad	8	No	Unk	Other germline drivers in other tissues	1	1	1	1	0.0278	1	1	1	1	1	0.93198	1	1	1	1	1
NTRK1	luad	14	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.0267	1	1	1	1	1	0.93069	1	1	1	1	1
PAX3	luad	13	No	Unk	Other somatic drivers in other tissues	1	0.684729383212942	1	1	0.438	1	1	1	1	1	1	1	0.0419608496094178	1	1	1
CEP89	luad	19	No	Unk	Other somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.0387368830197522	1	1	1
MAP3K1	luad	7	No	Unk	Missense somatic drivers in other tissues	1	0.160815597770998	1	1	0.385	1	1	1	1	1	1	1	1	1	1.414891e-07	1
MYO5A	luad	17	No	Unk	Other somatic drivers in other tissues	0.3962133	1	1	1	0.0458	1	1	1	1	1	1	1	1	1	1	1
